Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2011,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,SEAK,3516,12418.5
2011,ADFG,ADFG,AK,AK,Visual,Ocean Troll (non-treaty),Traditional Troll,WEAK,671,161.92
2011,ADFG,ADFG,AK,AK,Visual,Other,Other,WEAK,2,
2011,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,Hatchery Miscellaneous,SEAK,465,426.56
2011,ADFG,ADFG,AK,AK,Visual,PNP Cost Recovery,PNP Hatchery Cost Recovery,SEAK,465,426.56
2011,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,CHIL,32,
2011,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,SEAK,20,
2011,ADFG,ADFG,AK,AK,Visual,Spawning Ground,Escapement Survey,TAWH,81,
2011,ADFG,ADFG,AK,AK,Visual,Terminal Seine,Terminal Area Purse Seine,SEAK,36,210.32
2011,ADFG,ADFG,AK,AK,Visual,Terminal Troll,Terminal Area Troll,SEAK,36,135.81
2011,ADFG,ADFG,AK,AK,Visual,Treaty Subsistence,Subsistence,CHIL,1,
2011,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,BCGN,150,106.27
2011,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,CEBC,7,6.88
2011,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,NOBC,96,102.08
2011,CDFO,CDFO,BC,BC,Electronic,Ocean Troll (non-treaty),Troll - Freezer Boat,QCI,308,207.35
2011,CDFO,CDFO,BC,BC,Visual,Aboriginal Mixed Net,Beach Seine,FRTH,9,72.64
2011,CDFO,CDFO,BC,BC,Visual,Aboriginal Mixed Net,Drift Net,CEBC,2,
2011,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,FRTH,8,32.24
2011,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,NOBC,8,104.4
2011,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,WCVI,3,43.14
2011,CDFO,CDFO,BC,BC,Visual,Freshwater Sport,Rod and Reel,Unspe,11,107.92
